rank;name;gameId;elo;country;countryCode;
296;Brian Bisplinghoff;72171671;1626;United States of America;us;
297;Lucas Ward;26397637;1625;New Zealand;nz;
298;John Siadak;73975543;1625;United States of America;us;
299;JP Coleman;91272821;1625;United States of America;us;
300;Winter Fong;58332933;1625;Singapore;sg;
301;Aaron Grace;12965718;1624;United States of America;us;
302;Michel Remillard;92468115;1624;Canada;ca;
303;Tristan Kilper;58717946;1624;United States of America;us;
304;Harry Kaloyirou;75838854;1624;Australia;au;
305;Brandon Abarca;51216269;1624;United States of America;us;
306;Kung-nan huang;88192488;1624;Taiwan;tw;
307;Xiao Wang;45371444;1624;Australia;au;
308;Cody Williams;28483625;1624;United States of America;us;
309;Timothy Barron;19411933;1623;United States of America;us;
310;Nick Bova;36338661;1623;United States of America;us;
311;TUCKER CAMPBELL;96748883;1623;United States of America;us;
312;Nicholas Holding;42916169;1623;New Zealand;nz;
313;Danny McGeehan;21378455;1623;United States of America;us;
314;James Thourgood;16596147;1622;United Kingdom;gb;
315;Florin-Cristian Loghin;94458185;1622;Austria;at;
316;Rowsendo Nelson;89929864;1622;United States of America;us;
317;Jason Lai;48723877;1622;New Zealand;nz;
318;Matthew Fay;29672845;1622;United States of America;us;
319;Paul van Gijssel;82996881;1621;Netherlands;nl;
320;André Pankhurst;75672767;1621;Sweden;se;
321;Anthony Pham;32725731;1621;United States of America;us;
322;Nghia Tran;16569596;1620;Canada;ca;
323;Aria How;49389616;1620;United States of America;us;
324;Christopher Higashi;41957467;1620;United States of America;us;
325;Thaminda Edirisooriya;28632827;1619;United States of America;us;
326;Dennis Yip;57625968;1619;Hong Kong;hk;
327;Davide Rizzi;26326215;1619;Italy;it;
328;Vasilis Kirlis;24854737;1619;Greece;gr;
329;Pat Eshghy;55234782;1619;United States of America;us;
330;Taotao Chu;32841154;1619;United States of America;us;
331;Clark Jansen;97883877;1619;United States of America;us;
332;HSU WEI-CHUNG;63615892;1618;Taiwan;tw;
333;yu lain lin;93593925;1617;Taiwan;tw;
334;Mikael Teittinen;92694271;1617;Finland;fi;
335;Jacob Milam;63498352;1617;United States of America;us;
336;Blake Lathrop;65491918;1617;United States of America;us;
337;Sébastien Bondue;68769425;1617;France;fr;
338;Matthew Tickal;64779424;1616;United States of America;us;
339;Evan Ebeling;23844165;1616;United States of America;us;
340;Tom Tydecks;25469688;1616;Germany;de;
341;Bryce Stroyek;66224477;1616;United States of America;us;
342;Franche Tan;81834514;1616;United States of America;us;
343;Michael Bonde;16234949;1616;Denmark;dk;
344;Steven Caraher;87266114;1615;United States of America;us;
345;Jason Rice;34586893;1615;United States of America;us;
346;Liam Holden;23324112;1615;United Kingdom;gb;
